businesses__id,businesses__name,businesses__image_url,businesses__is_closed,businesses__url,businesses__review_count,businesses__categories__alias,businesses__categories__title,businesses__rating,businesses__coordinates__latitude,businesses__coordinates__longitude,businesses__transactions__001,businesses__transactions__002,businesses__transactions__003,businesses__price,businesses__location__address1,businesses__location__address2,businesses__location__address3,businesses__location__city,businesses__location__zip_code,businesses__location__country,businesses__location__state,businesses__location__display_address__001,businesses__location__display_address__002,businesses__location__display_address__003,businesses__phone,businesses__display_phone,businesses__distance,total,region__center__longitude,region__center__latitude
16758591,Toloache 50,,,https://www.zomato.com/new-york-city/toloache--gramercy?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,375,,Mexican,4.1,40.76218056,-73.98550278,,,,$$$$,"251 W 50th Street, New York 10019",,,,,,,,,,,,,,,
16758697,5 Burro Caf̩,,,https://www.zomato.com/new-york-city/5-burro-caf̩-forest-hills?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,330,,Mexican,4.3,40.719369,-73.842305,,,,$$$$,"7205 Austin Street, Queens 11375",,,,,,,,,,,,,,,
16758999,Adrienne's Pizza Bar,,,https://www.zomato.com/new-york-city/adriennes-pizza-bar-lower-manhattan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,537,,Italian,4.6,40.704525,-74.01036111,,,,$$$,"54 Stone Street, New York 10004",,,,,,,,,,,,,,,
16759326,Amma,,,https://www.zomato.com/new-york-city/amma-turtle-bay?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,149,,Indian,3.8,40.75570556,-73.96852222,,,,$$$$,"246 E 51st Street, New York 10022",,,,,,,,,,,,,,,
16759669,Artisanal Fromagerie & Bistro,,,https://www.zomato.com/new-york-city/artisanal-fromagerie-bistro-gramercy?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,588,,French,4.2,40.742716,-73.983962,,,,$$$$,"387 Park Avenue S, New York 10010",,,,,,,,,,,,,,,
16759908,Babbo,,,https://www.zomato.com/new-york-city/babbo-greenwich-village?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,1751,,Italian,4.2,40.73260833,-73.99906111,,,,$$$$,"110 Waverly Place, New York 10011",,,,,,,,,,,,,,,
16760142,Haveli Banjara,,,https://www.zomato.com/new-york-city/haveli-banjara-east-village?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,211,,Indian,3.9,40.72727222,-73.98857778,,,,$$$$,100 2nd Avenue 10003,,,,,,,,,,,,,,,
16760228,Barrio Chino,,,https://www.zomato.com/new-york-city/barrio-chino-alphabet-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,273,,Mexican,4.2,40.718075,-73.98998889,,,,$$$$,"253 Broome Street, New York 10002",,,,,,,,,,,,,,,
16760367,Becco,,,https://www.zomato.com/new-york-city/becco-chelsea-manhattan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,1252,,Italian,4.5,40.76066,-73.98943,,,,$$$$,"355 W 46th Street, Theater District 10036",,,,,,,,,,,,,,,
16760650,Big Wong,,,https://www.zomato.com/new-york-city/big-wong-lower-east-side?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,255,,Chinese,4,40.71616111,-73.99817778,,,,$$$,"67 Mott Street, New York 10013",,,,,,,,,,,,,,,
16760901,Blue Smoke,,,https://www.zomato.com/new-york-city/blue-smoke-gramercy-flatiron?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,983,,American,4.4,40.742241,-73.983808,,,,$$$$,"116 E 27th Street, New York 10016",,,,,,,,,,,,,,,
16761075,Bouley,,,https://www.zomato.com/new-york-city/bouley-tribeca?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,409,,French,4.2,40.71724444,-74.00866667,,,,$$$$,"163 Duane Street, New York 10013",,,,,,,,,,,,,,,
16761154,Brick Lane Curry House,,,https://www.zomato.com/new-york-city/brick-lane-curry-house-east-village?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,235,,Indian,3.9,40.727292,-73.988307,,,,$$$$,"99 2nd Avenue, New York 10003",,,,,,,,,,,,,,,
16761344,Buddakan,,,https://www.zomato.com/new-york-city/buddakan-greenwich-village?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,1530,,Chinese,4.8,40.742232,-74.0055112,,,,$$$$,"75 9th Avenue, New York 10011",,,,,,,,,,,,,,,
16761369,Bukhara Grill,,,https://www.zomato.com/new-york-city/bukhara-grill-turtle-bay?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,158,,Indian,3.7,40.75461111,-73.97065,,,,$$$$,"217 E 49th Street, New York 10017",,,,,,,,,,,,,,,
16761674,Caf̩ D'Alsace,,,https://www.zomato.com/new-york-city/caf̩-dalsace-upper-east-side?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,393,,French,4.2,40.77937778,-73.95056111,,,,$$$$,"1695 2nd Avenue, New York 10128",,,,,,,,,,,,,,,
16761708,Caf̩ Frida,,,https://www.zomato.com/new-york-city/caf̩-frida-upper-west-side?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,247,,Mexican,3.8,40.78099722,-73.97641111,,,,$$$$,"368 Columbus Avenue, New York 10024",,,,,,,,,,,,,,,
16761868,Cafeteria,,,https://www.zomato.com/new-york-city/cafeteria-chelsea-manhattan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,1120,,American,4.3,40.74059167,-73.99808611,,,,$$$$,"119 7th Avenue, New York 10011",,,,,,,,,,,,,,,
16761917,Caf̩ Boulud,,,https://www.zomato.com/new-york-city/caf̩-boulud-upper-east-side?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,283,,French,3.9,40.774315,-73.964038,,,,$$$$,"20 East 76th Street, New York 10021",,,,,,,,,,,,,,,
16762160,Carmine's Italian Restaurant - Times Square,,,https://www.zomato.com/new-york-city/carmines-italian-restaurant-times-square-gramercy?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,2015,,Italian,4.6,40.757498,-73.986654,,,,$$$$,"200 W 44th Street, New York 10036",,,,,,,,,,,,,,,
16762161,Carmine's,,,https://www.zomato.com/new-york-city/carmines-1-new-york?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,565,,Italian,4.2,40.79121111,-73.97414444,,,,$$$$,"2450 Broadway, New York 10024",,,,,,,,,,,,,,,
16762904,Chinatown Ice Cream Factory,,,https://www.zomato.com/new-york-city/chinatown-ice-cream-factory-lower-east-side?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,348,,Chinese,4.3,40.71558056,-73.99806111,,,,$$,"65 Bayard Street, New York 10013",,,,,,,,,,,,,,,
16763006,Chola,,,https://www.zomato.com/new-york-city/chola-midtown?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,118,,Indian,3.6,40.760576,-73.966215,,,,$$$$,"232 E 58th Street, New York 10022",,,,,,,,,,,,,,,
16763419,Congee Village,,,https://www.zomato.com/new-york-city/congee-village-lower-east-side?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,155,,Chinese,3.7,40.71883889,-73.99059167,,,,$$$,"100 Allen Street, New York 10002",,,,,,,,,,,,,,,
