,restaurant_cuisine,restaurant_price_range,restaurant_aggregate_rating,restaurant_id,restaurant_name,restaurant_latitude,restaurant_longitude,restaurant_address
41,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
42,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
43,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
44,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
45,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
46,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
47,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
48,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
49,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
50,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
51,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
52,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
53,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
54,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
55,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
56,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
57,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
58,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
59,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
60,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
61,"American, Burger",2,4.9,16777384,Shake Shack,40.7408681000,-73.9879841000,"Madison Square Park, 23rd & Madison, New York 10010"
